game_id,date,home_abbrev,away_abbrev
21900001,10/22/2019,TOR,NOP
21900002,10/22/2019,LAC,LAL
21900003,10/23/2019,CHA,CHI
21900005,10/23/2019,ORL,CLE
21900004,10/23/2019,IND,DET
21900006,10/23/2019,BKN,MIN
21900007,10/23/2019,MIA,MEM
21900008,10/23/2019,PHI,BOS
21900009,10/23/2019,DAL,WAS
21900010,10/23/2019,SAS,NYK
21900011,10/23/2019,UTA,OKC
21900013,10/23/2019,POR,DEN
21900012,10/23/2019,PHX,SAC
21900014,10/24/2019,DET,ATL
21900015,10/24/2019,HOU,MIL
21900016,10/24/2019,GSW,LAC
21900017,10/25/2019,BOS,TOR
21900018,10/25/2019,CHA,MIN
21900019,10/25/2019,BKN,NYK
21900020,10/25/2019,MEM,CHI
21900021,10/25/2019,NOP,DAL
21900022,10/25/2019,OKC,WAS
21900023,10/25/2019,DEN,PHX
21900024,10/25/2019,SAC,POR
21900025,10/25/2019,LAL,UTA
21900026,10/26/2019,MIL,MIA
21900027,10/26/2019,DET,PHI
21900028,10/26/2019,ATL,ORL
21900029,10/26/2019,NYK,BOS
21900030,10/26/2019,CLE,IND
21900031,10/26/2019,CHI,TOR
21900032,10/26/2019,HOU,NOP
21900033,10/26/2019,SAS,WAS
21900034,10/26/2019,UTA,SAC
21900035,10/26/2019,PHX,LAC
21900036,10/27/2019,OKC,GSW
21900037,10/27/2019,MEM,BKN
21900038,10/27/2019,DAL,POR
21900039,10/27/2019,MIN,MIA
21900040,10/27/2019,LAL,CHA
21900042,10/28/2019,NYK,CHI
21900041,10/28/2019,DET,IND
21900043,10/28/2019,ATL,PHI
21900044,10/28/2019,TOR,ORL
21900045,10/28/2019,HOU,OKC
21900046,10/28/2019,MIL,CLE
21900047,10/28/2019,NOP,GSW
21900048,10/28/2019,SAS,POR
21900049,10/28/2019,PHX,UTA
21900050,10/28/2019,SAC,DEN
21900051,10/28/2019,LAC,CHA
21900052,10/29/2019,MIA,ATL
21900053,10/29/2019,DEN,DAL
21900054,10/29/2019,LAL,MEM
21900055,10/30/2019,CLE,CHI
21900056,10/30/2019,ORL,NYK
21900057,10/30/2019,PHI,MIN
21900058,10/30/2019,BOS,MIL
21900059,10/30/2019,BKN,IND
21900060,10/30/2019,TOR,DET
21900061,10/30/2019,WAS,HOU
21900062,10/30/2019,OKC,POR
21900063,10/30/2019,UTA,LAC
21900064,10/30/2019,SAC,CHA
21900065,10/30/2019,GSW,PHX
21900066,10/31/2019,ATL,MIA
21900067,10/31/2019,NOP,DEN
21900068,10/31/2019,LAC,SAS
21900069,11/1/2019,BKN,HOU
21900070,11/1/2019,IND,CLE
21900071,11/1/2019,ORL,MIL
21900072,11/1/2019,BOS,NYK
21900073,11/1/2019,CHI,DET
21900074,11/1/2019,DAL,LAL
21900075,11/1/2019,SAC,UTA
21900076,11/1/2019,GSW,SAS
21900077,11/2/2019,OKC,NOP
21900078,11/2/2019,DET,BKN
21900079,11/2/2019,ORL,DEN
21900080,11/2/2019,WAS,MIN
21900081,11/2/2019,MEM,PHX
21900082,11/2/2019,MIL,TOR
21900083,11/2/2019,GSW,CHA
21900084,11/2/2019,POR,PHI
21900085,11/3/2019,IND,CHI
21900086,11/3/2019,MIA,HOU
21900087,11/3/2019,NYK,SAC
21900088,11/3/2019,SAS,LAL
21900089,11/3/2019,CLE,DAL
21900090,11/3/2019,LAC,UTA
21900091,11/4/2019,WAS,DET
21900092,11/4/2019,BKN,NOP
21900093,11/4/2019,MEM,HOU
21900094,11/4/2019,MIN,MIL
21900095,11/4/2019,PHX,PHI
21900096,11/4/2019,GSW,POR
21900097,11/5/2019,CHA,IND
21900098,11/5/2019,CLE,BOS
21900099,11/5/2019,ATL,SAS
21900100,11/5/2019,CHI,LAL
21900101,11/5/2019,OKC,ORL
21900102,11/5/2019,DEN,MIA
21900103,11/6/2019,DET,NYK
21900104,11/6/2019,IND,WAS
21900105,11/6/2019,ATL,CHI
21900106,11/6/2019,TOR,SAC
21900107,11/6/2019,HOU,GSW
21900108,11/6/2019,MEM,MIN
21900109,11/6/2019,DAL,ORL
21900110,11/6/2019,UTA,PHI
21900111,11/6/2019,LAC,MIL
21900112,11/7/2019,CHA,BOS
21900113,11/7/2019,SAS,OKC
21900114,11/7/2019,PHX,MIA
21900115,11/7/2019,LAC,POR
21900116,11/8/2019,IND,DET
21900117,11/8/2019,ORL,MEM
21900118,11/8/2019,WAS,CLE
21900119,11/8/2019,ATL,SAC
21900120,11/8/2019,MIN,GSW
21900121,11/8/2019,NOP,TOR
21900122,11/8/2019,DAL,NYK
21900123,11/8/2019,DEN,PHI
21900124,11/8/2019,UTA,MIL
21900125,11/8/2019,POR,BKN
21900126,11/8/2019,LAL,MIA
